brand,model,tracking,connection,max_dpi,hand_orientation,color,price
adesso,imouse e60y,optical,wireless,0.0189873417721519,both,yellow,0.0
adesso,imouse e7,optical,wired,0.189873417721519,left,black,0.0
adesso,imouse e70,optical,wireless,0.1392405063291139,left,black,0.0
adesso,imouse e9,optical,wireless,0.0632911392405063,left,black,0.0
adesso,imouse e90,optical,wireless,0.0379746835443038,left,black,0.0
adesso,imouse g2,optical,wired,0.0632911392405063,right,black,0.0
adesso,imouse g3,optical,wired,0.0632911392405063,right,multicolor,0.0
adesso,imouse m20,laser,wireless,0.0348101265822784,right,black,0.0
adesso,imouse m20b,optical,wireless,0.0379746835443038,right,black,0.0
adesso,imouse m20r,optical,wireless,0.0379746835443038,right,red / black,0.0
adesso,imouse m40,optical,wireless,0.0253164556962025,both,black,0.0
adesso,imouse m6,optical,wired,0.0189873417721519,both,black,0.0
adesso,imouse m6-taa,optical,wired,0.0189873417721519,both,black,0.0
adesso,imouse s100b,optical,wireless,0.0253164556962025,both,black,0.0
adesso,imouse s200b,optical,wireless,0.050632911392405,right,black,0.0
adesso,imouse s5,optical,wired,0.0189873417721519,both,black,0.0
adesso,imouse s50,optical,wireless,0.0253164556962025,both,black,0.0
adesso,imouse s60b,optical,wireless,0.0379746835443038,right,black / silver,0.0
adesso,imouse s60l,optical,wireless,0.0379746835443038,right,blue / black,0.0
adesso,imouse s60r,optical,wireless,0.0379746835443038,right,red / black,0.0
adesso,imouse s70g,optical,wireless,0.0189873417721519,both,green / black,0.0
adesso,imouse s70l,optical,wireless,0.0189873417721519,both,blue,0.0
adesso,imouse s70p,optical,wireless,0.0189873417721519,both,pink / black,0.0
adesso,imouse s80b,optical,wireless,0.0379746835443038,right,black,0.0
adesso,imouse s80l,optical,wireless,0.0379746835443038,right,blue / black,0.0
adesso,imouse s80r,optical,wireless,0.0379746835443038,right,red / black,0.0
adesso,imouse s8b,optical,wired,0.0379746835443038,both,black,0.0
adesso,imouse s8l,optical,wired,0.0379746835443038,both,blue / black,0.0
adesso,imouse s8r,optical,wired,0.0379746835443038,both,red / black,0.0
adesso,imouse t1,trackball,wired,0.0126582278481012,both,silver,0.0
adesso,imouse t30,optical,wireless,0.1392405063291139,right,black / red,0.0
adesso,imouse t40 trackball,optical,wireless,0.1392405063291139,both,black / red,0.0
adesso,imouse v10,optical,wireless,0.0379746835443038,right,black / yellow,0.0
adesso,imouse w2,optical,wired,0.0126582278481012,both,black,0.0
adesso,imouse x2,optical,wired,0.0886075949367088,right,black,0.0
alienware,aw558,optical,wired,0.1455696202531645,right,black / silver,0.0
alienware,aw958,optical,wired,0.3670886075949367,right,black / silver,0.0
