brand,model,channels,bitrate,snr,sample_rate,chipset,interface,price
ht omega,eclaro,1.0,0.5,0.8524590163934427,0.4351279788172992,c-media cmi8788,pcie x1,0.0
m-audio,audiophile 192,0.3921568627450981,0.5,0.8524590163934427,0.4351279788172992,c-media cmi8788,pci,0.0
m-audio,us41500c,0.0,0.5,0.5901639344262295,0.1526919682259488,c-media cmi8788,pci,0.0
powercolor,devil hdx 7.1,1.0,0.0,0.9180327868852458,0.4351279788172992,c-media cmi8788,pcie x1,0.0
rosewill,rc-701,0.6078431372549019,0.0,0.9180327868852458,0.4351279788172992,c-media cmi8738,pci,0.0
rosewill,rc-702,1.0,0.0,0.9180327868852458,0.1526919682259488,c-media cmi8768,pci,0.0
rosewill,rc-703,1.0,0.0,0.9180327868852458,0.0,c-media cmi8768,pcie x1,0.0
siig,dp soundwave,0.6078431372549019,0.5,0.9180327868852458,0.0,c-media cmi8768,pcie x1,0.0
siig,ic-510012-s2,0.6078431372549019,0.0,0.0,0.0,c-media cmi8768,pci,0.0
siig,ic-510111-s2,0.6078431372549019,0.5,0.360655737704918,0.1526919682259488,via vt1723,pcie x1,0.0
siig,ic-710012-s2,1.0,0.5,0.3934426229508196,0.1526919682259488,via vt1723,pci,0.0
siig,lp-000022-s2,0.6078431372549019,0.5,0.360655737704918,0.1526919682259488,via vt1723,pci,0.0
startech,pcisound4ch,0.3921568627450981,0.0,0.360655737704918,0.0114739629302736,c-media cmi8738,pci,0.0
startech,pcisound4lp,0.3921568627450981,0.0,0.360655737704918,0.0114739629302736,c-media cmi8738,pci,0.0
startech,pcisound5ch,0.6078431372549019,0.5,0.360655737704918,0.0114739629302736,c-media cmi8738,pci,0.0
syba,sd-pex63034,1.0,0.5,0.360655737704918,0.0114739629302736,c-media cmi8738,pcie x1,0.0
turtle beach,tbs-3429,0.6078431372549019,0.5,0.360655737704918,0.0114739629302736,c-media cmi8738,pci,0.0
vantec,ugt-s100,1.0,0.5,0.360655737704918,0.0114739629302736,c-media cmi8738,pci,0.0
Asus,Essence STX II,2.0,24.0,124.0,192.0,ASUS AV100,PCIe x1,"['USD', '590.75']"
Asus,Essence STX II 7.1,7.1,24.0,124.0,192.0,ASUS AV100,PCIe x1,"['USD', '0.00']"
Asus,STRIX RAID DLX,7.1,24.0,124.0,192.0,,PCIe x1,"['USD', '219.99']"
Asus,STRIX RAID PRO,7.1,24.0,116.0,192.0,,PCIe x1,"['USD', '0.00']"
Asus,STRIX SOAR,7.1,24.0,116.0,192.0,,PCIe x1,"['USD', '109.94']"
Asus,Xonar AE,7.1,24.0,110.0,192.0,,PCIe x1,"['USD', '69.99']"
Asus,Xonar D1,7.1,24.0,116.0,192.0,ASUS AV100,PCI,"['USD', '0.00']"
