brand,model,bluray_read_speed,dvd_read_speed,cd_read_speed,bluray_write_speed,dvd_write_speed,cd_write_speed,price
lite-on,ihbs112-29,0.3333333333333333,0.6470588235294117,0.9230769230769232,12/8/2/2,16/8/8/16/6/8/12,48/24,0.0
lite-on,ihbs312-98,0.3333333333333333,0.6470588235294117,0.9230769230769232,12/8/2/2,16/8/8/16/6/8/12,48/24,0.0
lite-on,ihes312-98,0.6666666666666667,0.6470588235294117,0.9230769230769232,12/8/2/2,16/8/8/16/6/8/12,48/24,0.0
lite-on,ihap322-98,0.6666666666666667,0.6470588235294117,0.9230769230769232,12/8/2/2,16/8/8/16/6/8/12,48/32,0.0
lite-on,sohw-832s,0.6666666666666667,0.4117647058823528,0.6153846153846154,12/8/2/2,16/8/8/16/6/8/12,40/24,0.0
lite-on,ihap122-04,0.6666666666666667,0.6470588235294117,0.9230769230769232,12/8/2/2,22/8/8/22/6/8/12,48/32,0.0
lite-on,ihap222-06,0.6666666666666667,0.6470588235294117,0.9230769230769232,12/8/2/2,22/8/8/22/6/8/12,48/32,0.0
lite-on,ihap422-98,0.6666666666666667,0.6470588235294117,0.9230769230769232,12/8/2/2,22/8/8/22/6/8/12,48/32,0.0
lite-on,ihas-324-98b,0.6666666666666667,0.6470588235294117,0.9230769230769232,12/8/2/2,24/8/8/24/6/8/12,48/32,0.0
lite-on,ihas124-04,0.6666666666666667,0.6470588235294117,0.9230769230769232,12/8/2/2,24/8/8/24/6/8/12,48/32,0.0
lite-on,ihas224-06,0.6666666666666667,0.6470588235294117,0.9230769230769232,12/8/2/2,24/8/12/24/6/12/12,48/32,0.0
lite-on,ihas324-99,0.6666666666666667,0.6470588235294117,0.9230769230769232,12/8/2/2,24/8/12/24/6/12/12,48/32,0.0
lite-on,ihas424-98,0.6666666666666667,0.6470588235294117,0.9230769230769232,12/8/2/2,24/8/12/24/6/12/12,48/32,0.0
lite-on,ihas524-06,0.6666666666666667,0.6470588235294117,0.9230769230769232,12/8/2/2,24/8/12/24/6/12/12,48/32,0.0
lite-on,ihas524-t98a,0.6666666666666667,0.6470588235294117,0.9230769230769232,12/8/2/2,24/8/12/24/6/12/12,48/32,0.0
lite-on,ihbs212-08,0.3333333333333333,0.6470588235294117,0.9230769230769232,12/8/2/2,16/8/8/16/6/8/12,48/24,0.0
lite-on,ihdp118-04,0.3333333333333333,0.7647058823529411,0.9230769230769232,12/8/2/2,16/8/8/16/6/8/12,48/24,0.0
lite-on,ihdp118-08,0.3333333333333333,0.7647058823529411,0.9230769230769232,12/8/2/2,16/8/8/16/6/8/12,48/24,0.0
lite-on,ihds118-04,0.3333333333333333,0.7647058823529411,0.9230769230769232,12/8/2/2,16/8/8/16/6/8/12,48/24,0.0
lite-on,ihes112-29,0.6666666666666667,0.6470588235294117,0.9230769230769232,12/8/2/2,16/8/8/16/6/8/12,48/24,0.0
lite-on,ihes208-08,0.3333333333333333,0.6470588235294117,0.9230769230769232,12/8/2/2,16/8/8/16/6/8/12,48/48,0.0
lite-on,ihes212-08,0.6666666666666667,0.6470588235294117,0.9230769230769232,12/8/2/2,16/8/8/16/6/8/12,48/24,0.0
lite-on,ihos104-06,0.0,0.1764705882352941,0.3076923076923077,12/8/2/2,16/8/8/16/6/8/12,48/24,0.0
lite-on,ihos104-08,0.0,0.1764705882352941,0.3076923076923077,12/8/2/2,16/8/8/16/6/8/12,48/24,0.0
lite-on,ihas524-t06,0.0,0.6470588235294117,0.9230769230769232,12/8/2/2,24/8/12/24/6/12/12,48/32,0.0
msi,dh-18d4p,0.6666666666666667,0.7647058823529411,0.9230769230769232,8/4/8/4,16/8/8/16/6/8/12,48/24,0.0
msi,dh-18d5s,0.6666666666666667,0.7647058823529411,0.9230769230769232,8/4/8/4,16/8/8/16/6/8/12,48/24,0.0
msi,dh-22ap,0.6666666666666667,0.6470588235294117,0.9230769230769232,8/4/8/4,16/8/8/16/6/8/12,48/32,0.0
msi,dh-24aas-17 r,0.6666666666666667,0.6470588235294117,0.9230769230769232,8/4/8/4,24/8/12/24/6/12/12,48/32,0.0
msi,dh-24as,0.6666666666666667,0.6470588235294117,0.9230769230769232,8/4/8/4,24/8/12/24/6/12/12,48/32,0.0
msi,dh-24as u88,0.6666666666666667,0.6470588235294117,0.9230769230769232,8/4/8/4,24/8/12/24/6/12/12,48/32,0.0
memorex,98240-kit,0.6666666666666667,0.6470588235294117,0.9230769230769232,8/4/8/4,24/8/12/24/6/12/12,48/32,0.0
memorex,mrx-550l,0.6666666666666667,0.6470588235294117,0.9230769230769232,8/4/8/4,24/8/12/24/6/12/12,48/32,0.0
ocuk,cd-004-ok,0.3333333333333333,0.6470588235294117,0.9230769230769232,8/4/8/4,24/8/12/24/6/12/12,48/24,0.0
ocuk,cd-005-ok,0.4999999999999999,0.6470588235294117,0.6153846153846154,8/4/8/4,16/8/8/12/8/8/12,48/40,0.0
ocuk,ocuksatadvdrw,0.4999999999999999,0.6470588235294117,0.6153846153846154,8/4/8/4,16/8/8/12/8/8/12,48/40,0.0
ocuk,ihas124-14,0.4999999999999999,0.6470588235294117,0.9230769230769232,8/4/8/4,24/8/8/24/6/8/5,48/24,0.0
panasonic,uj-265,0.1666666666666666,0.1764705882352941,0.0,8/4/8/4,24/8/8/24/6/8/5,24/16,0.0
pioneer,bdc-207dbk,0.3333333333333333,0.6470588235294117,0.6153846153846154,8/4/8/4,16/8/8/16/6/8/5,40/24,0.0
pioneer,bdr-206dbks,0.3333333333333333,0.6470588235294117,0.6153846153846154,12/12/2/2,16/8/8/16/6/8/5,40/24,0.0
pioneer,bdr-206mbk,0.1666666666666666,0.1764705882352941,0.0,6/6/2/2,16/8/8/16/6/8/5,24/24,0.0
pioneer,bdr-207,0.4999999999999999,0.6470588235294117,0.6153846153846154,12/12/2/2,16/8/8/16/6/8/5,40/24,0.0
pioneer,bdr-207dbks,0.4999999999999999,0.6470588235294117,0.6153846153846154,12/12/2/2,16/8/8/16/6/8/5,40/24,0.0
pioneer,bdr-207mbk,0.4999999999999999,0.6470588235294117,0.6153846153846154,12/12/2/2,16/8/8/16/6/8/5,40/24,0.0
pioneer,bdr-208dbk,0.6666666666666667,0.6470588235294117,0.6153846153846154,15/14/2/2,16/8/8/16/6/8/5,40/24,0.0
pioneer,bdr-209dbk,0.6666666666666667,0.6470588235294117,0.6153846153846154,16/14/2/2,16/8/8/16/6/8/5,40/24,0.0
pioneer,bdr-211ebk,0.6666666666666667,0.6470588235294117,0.6153846153846154,16/14/2/2,16/8/8/16/6/8/5,40/24,0.0
pioneer,bdr-211ubk,0.6666666666666667,0.6470588235294117,0.6153846153846154,16/14/2/2,16/8/8/16/6/8/5,40/24,0.0
pioneer,bdr-212dbk,0.6666666666666667,0.6470588235294117,0.6153846153846154,16/14/2/2,16/8/8/16/6/8/5,40/24,0.0
pioneer,bdr-212ebk,1.0,0.6470588235294117,0.6153846153846154,16/14/2/2,16/8/8/16/6/8/5,40/24,0.0
pioneer,bdr-2206,0.3333333333333333,0.4117647058823528,0.6153846153846154,12/12/2/2,16/8/8/16/6/8/5,40/24,0.0
pioneer,bdr-2207,0.4999999999999999,0.6470588235294117,0.6153846153846154,12/12/2/2,16/8/8/16/6/8/5,40/24,0.0
pioneer,bdr-2208,0.6666666666666667,0.6470588235294117,0.6153846153846154,15/14/2/2,16/8/8/16/6/8/5,40/24,0.0
pioneer,bdr-2209,0.6666666666666667,0.6470588235294117,0.6153846153846154,16/14/2/2,16/6/8/16/6/8/5,40/24,0.0
pioneer,bdr-s08xlt,0.6666666666666667,0.6470588235294117,0.6153846153846154,16/14/2/2,16/6/8/16/6/8/5,40/24,0.0
pioneer,bdr-s09xlt,0.6666666666666667,0.0,0.6153846153846154,12/8/10/6,16/12/12/16/12/12/5,40/24,0.0
pioneer,dvr-118lbk,0.6666666666666667,1.0,0.6153846153846154,12/8/10/6,22/8/12/22/6/12/12,40/32,0.0
pioneer,dvr-216d,0.6666666666666667,0.6470588235294117,0.6153846153846154,12/8/10/6,22/8/12/22/6/12/12,40/32,0.0
