brand,model,chipset,vram,core_clock,boost_clock,color,length,price
ati,firepro w9100,firepro w9100,{'total': 16000000000},{'cycles': 930000000},{'cycles': 2025000000},black / red,0.6338461538461538,0.0
asus,20th anniversary gold edition,geforce gtx 980,{'total': 4000000000},{'cycles': 1317000000},{'cycles': 1431000000},black / gold,0.7015384615384616,0.0
asus,210-sl-512md3-l,geforce 210,{'total': 500000000},{'cycles': 589000000},{'cycles': 1431000000},black / blue,0.3323076923076923,0.0
asus,710-1-sl,geforce gt 710,{'total': 1000000000},{'cycles': 954000000},{'cycles': 1431000000},blue / silver,0.2,0.0
asus,710-2-sl-csm,geforce gt 710,{'total': 2000000000},{'cycles': 954000000},{'cycles': 1431000000},blue / silver,0.2030769230769231,0.0
asus,90yv06x3-m0na00,geforce gtx 750,{'total': 2000000000},{'cycles': 1020000000},{'cycles': 1085000000},black / red,0.4030769230769231,0.0
asus,90yv0810-u0na00,geforce gtx titan x,{'total': 12000000000},{'cycles': 1000000000},{'cycles': 1075000000},black / silver,0.6553846153846153,0.0
asus,90yv09z0-u0na00,radeon rx 480,{'total': 8000000000},{'cycles': 1120000000},{'cycles': 1266000000},black / red,0.5323076923076923,0.0
asus,ares/2dis/4gd5,radeon hd 5870 x2,{'total': 4000000000},{'cycles': 850000000},{'cycles': 1266000000},black / red,0.6461538461538462,0.0
asus,arez,radeon rx 560 - 896,{'total': 2000000000},{'cycles': 1149000000},{'cycles': 1197000000},black,0.4646153846153846,0.0
asus,arez dual oc,radeon rx 580,{'total': 8000000000},{'cycles': 1257000000},{'cycles': 1380000000},black,0.5323076923076923,0.0
asus,arez expedition,radeon rx 570,{'total': 8000000000},{'cycles': 1168000000},{'cycles': 1266000000},black / red,0.5261538461538462,0.0
asus,arez oc,radeon rx 560 - 896,{'total': 4000000000},{'cycles': 1149000000},{'cycles': 1197000000},black / red,0.4676923076923077,0.0
asus,arez strix,radeon rx vega 56,{'total': 8000000000},{'cycles': 1297000000},{'cycles': 1573000000},black,0.7046153846153846,0.0
asus,arez strix oc,radeon rx 570,{'total': 4000000000},{'cycles': 1168000000},{'cycles': 1310000000},black,0.5261538461538462,0.0
asus,arez strix oc edition,radeon rx vega 64,{'total': 8000000000},{'cycles': 1247000000},{'cycles': 1590000000},black,0.7046153846153846,0.0
asus,cerberus,geforce gtx 1050,{'total': 2000000000},{'cycles': 1404000000},{'cycles': 1544000000},black / red,0.4123076923076922,0.0
asus,dual advanced,geforce rtx 2060,{'total': 6000000000},{'cycles': 1365000000},{'cycles': 1680000000},black / silver,0.6184615384615385,0.0
asus,dual evo,geforce rtx 2060 super,{'total': 8000000000},{'cycles': 1500000000},{'cycles': 1680000000},black,0.6092307692307692,0.0
asus,dual evo advanced,geforce rtx 2070 super,{'total': 8000000000},{'cycles': 1635000000},{'cycles': 1815000000},black,0.6092307692307692,0.0
asus,dual evo oc,radeon rx 5700,{'total': 8000000000},{'cycles': 1515000000},{'cycles': 1750000000},black,0.6215384615384615,0.0
asus,dual evo oc v2,geforce rtx 2070,{'total': 8000000000},{'cycles': 1410000000},{'cycles': 1740000000},black,0.5323076923076923,0.0
asus,dual mini oc,geforce rtx 2060,{'total': 6000000000},{'cycles': 1365000000},{'cycles': 1750000000},black,0.3938461538461538,0.0
asus,directcu ii,radeon r9 280x,{'total': 3000000000},{'cycles': 850000000},{'cycles': 1000000000},black / red,0.6615384615384615,0.0
asus,dual series,geforce gtx 1070,{'total': 8000000000},{'cycles': 1582000000},{'cycles': 1797000000},white,0.5261538461538462,0.0
asus,eah4670/di/1gd3/v2,radeon hd 4670,{'total': 1000000000},{'cycles': 750000000},{'cycles': 1797000000},red,0.5261538461538462,0.0
asus,eah4870/2di/1gd5,radeon hd 4870,{'total': 1000000000},{'cycles': 750000000},{'cycles': 1797000000},red,0.5292307692307693,0.0
asus,eah5450 silent/di/1gd3(lp),radeon hd 5450,{'total': 1000000000},{'cycles': 650000000},{'cycles': 1797000000},black / red,0.5292307692307693,0.0
asus,eah5450 silent/di/1gd3/v2(lp),radeon hd 5450,{'total': 1000000000},{'cycles': 650000000},{'cycles': 1797000000},red / silver,0.5292307692307693,0.0
asus,eah5450 silent/di/512md3(lp),radeon hd 5450,{'total': 500000000},{'cycles': 650000000},{'cycles': 1797000000},red / silver,0.3323076923076923,0.0
asus,eah5450 sl/di/512md3/mg(lp),radeon hd 5450,{'total': 500000000},{'cycles': 650000000},{'cycles': 1797000000},red / silver,0.3323076923076923,0.0
asus,eah5550/di/1gd3(lp),radeon hd 5550,{'total': 1000000000},{'cycles': 550000000},{'cycles': 1797000000},black / red,0.3015384615384615,0.0
asus,eah5550/g/di/1gd3(lp),radeon hd 5550,{'total': 1000000000},{'cycles': 550000000},{'cycles': 1797000000},black / red,0.3015384615384615,0.0
asus,eah5570/di/1gd3(lp),radeon hd 5570,{'total': 1000000000},{'cycles': 650000000},{'cycles': 1797000000},black / red,0.3015384615384615,0.0
asus,eah5670/di/1gd5,radeon hd 5670,{'total': 1000000000},{'cycles': 775000000},{'cycles': 1797000000},black / red,0.3015384615384615,0.0
asus,eah5670/di/512md5/v2,radeon hd 5670,{'total': 500000000},{'cycles': 774000000},{'cycles': 1797000000},black / red,0.4723199999999999,0.0
asus,eah5770 cucore/2di/1gd5,radeon hd 5770,{'total': 1000000000},{'cycles': 850000000},{'cycles': 1797000000},black,0.4892307692307692,0.0
