brand,model,supported_protocols,interface,color,price
Linksys,AE3000-CA,Wi-Fi 4,USB 2.0,,"['USD', '0.00']"
Linksys,AE3000-NP,Wi-Fi 4,USB 2.0,,"['USD', '0.00']"
Linksys,AE6000,Wi-Fi 5,USB 2.0,,"['USD', '34.99']"
Linksys,WMP600N,Wi-Fi 4,PCI,,"['USD', '54.27']"
Linksys,WUSB600N,Wi-Fi 4,USB 2.0,,"['USD', '49.99']"
Linksys,WUSB6100M,Wi-Fi 5,USB 3.0,Black,"['USD', '34.74']"
Linksys,WUSB6300,Wi-Fi 5,USB 3.0,,"['USD', '45.87']"
MSI,AC905C,Wi-Fi 5,PCIe x1,Black,"['USD', '34.49']"
MSI,AX905C,Wi-Fi 6,PCIe x1,Black,"['USD', '0.00']"
Netgear,A6100-10000S,Wi-Fi 5,USB 2.0,Black,"['USD', '39.77']"
Netgear,A6100-100PAS,Wi-Fi 5,USB 2.0,,"['USD', '39.99']"
Netgear,A6150-100PAS,Wi-Fi 5,USB 2.0,Black,"['USD', '44.77']"
Netgear,A6200-100NAS,Wi-Fi 5,USB 2.0,,"['USD', '64.71']"
Netgear,A6210-100PAS,Wi-Fi 5,USB 3.0,,"['USD', '54.99']"
Netgear,Nighthawk AC1900 A7000-10000S,Wi-Fi 5,USB 3.0,Black,"['USD', '64.99']"
Netgear,WF2190,Wi-Fi 5,USB 3.0,,"['USD', '0.00']"
Netgear,WN311B-100NAS,Wi-Fi 4,PCI,,"['USD', '29.98']"
Netgear,WNA1000M-100ENS,Wi-Fi 4,USB 2.0,,"['USD', '99.16']"
Netgear,WNA1100-100ENS,Wi-Fi 4,USB 2.0,,"['USD', '61.05']"
Netgear,WNA3100-100ENS,Wi-Fi 4,USB 2.0,,"['USD', '0.00']"
Netgear,WNA3100M-100ENS,Wi-Fi 4,USB 2.0,,"['USD', '111.21']"
Netgear,WNDA3100-100NAS,Wi-Fi 4,USB 2.0,,"['USD', '39.94']"
Netgear,WNDA4100-100NAS,Wi-Fi 4,USB 2.0,,"['USD', '167.09']"
Orico,ORICO WRA150,Wi-Fi 4,USB 2.0,,"['USD', '0.00']"
Orico,ORICO WRB150,Wi-Fi 4,USB 2.0,,"['USD', '0.00']"
Orico,ORICO WRD150,Wi-Fi 4,USB 2.0,,"['USD', '0.00']"
Orico,WRD150BLK,Wi-Fi 4,USB 2.0,,"['USD', '0.00']"
Patriot,PCBOWAU2-N,Wi-Fi 4,USB 2.0,,"['USD', '45.00']"
Patriot,PCUSBW1150,Wi-Fi 4,USB 2.0,,"['USD', '0.00']"
Rosewill,AC1200UBE,Wi-Fi 5,USB 3.0,,"['USD', '0.00']"
Rosewill,N600PCE,Wi-Fi 4,PCIe x1,,"['USD', '69.98']"
Rosewill,N900PCE,Wi-Fi 4,PCIe x1,,"['USD', '0.00']"
Rosewill,N900UBE,Wi-Fi 4,USB 2.0,,"['USD', '0.00']"
Rosewill,RNWD-N1501UB,Wi-Fi 4,USB 2.0,,"['USD', '0.00']"
Rosewill,RNWD-N1502UBE,Wi-Fi 4,USB 2.0,,"['USD', '0.00']"
Rosewill,RNX-AC1200PCE,Wi-Fi 5,PCIe x1,,"['USD', '43.94']"
Rosewill,RNX-AC1200PCEv2,Wi-Fi 5,PCIe x1,Green,"['USD', '0.00']"
Rosewill,RNX-AC1200UBE2,Wi-Fi 5,USB 3.0,,"['USD', '0.00']"
Rosewill,RNX-AC1200UBv2,Wi-Fi 5,USB 3.0,Black,"['USD', '25.40']"
Rosewill,RNX-AC1900PCE,Wi-Fi 5,PCIe x1,,"['USD', '50.00']"
Rosewill,RNX-AC1900PCEv2,Wi-Fi 5,PCIe x1,Red / Black,"['USD', '62.19']"
Rosewill,RNX-AC1900UB,Wi-Fi 5,USB 3.0,Black,"['USD', '34.99']"
Rosewill,RNX-AC2030PCE,Wi-Fi 5,PCIe x1,Red / Black,"['USD', '39.99']"
Rosewill,RNX-AC600HGUBEv2,Wi-Fi 5,USB 2.0,Black,"['USD', '20.25']"
Rosewill,RNX-AC600NUBv2,Wi-Fi 5,USB 2.0,Black,"['USD', '14.99']"
Rosewill,RNX-AC600PCEv3,Wi-Fi 5,PCIe x1,Black,"['USD', '23.99']"
Rosewill,RNX-G300EX,Wi-Fi 3,PCI,,"['USD', '29.77']"
Rosewill,RNX-G300LX,Wi-Fi 3,PCI,,"['USD', '0.00']"
Rosewill,RNX-MiniN2(RWLD-11002),Wi-Fi 4,USB 2.0,,"['USD', '0.00']"
Rosewill,RNX-N150HG,Wi-Fi 4,USB 2.0,,"['USD', '0.00']"
Rosewill,RNX-N150NUB,Wi-Fi 4,USB 2.0,,"['USD', '10.99']"
Rosewill,RNX-N150PCe,Wi-Fi 4,PCIe x1,,"['USD', '0.00']"
Rosewill,RNX-N150PCx,Wi-Fi 4,PCI,,"['USD', '19.99']"
Rosewill,RNX-N150UBE,Wi-Fi 4,USB 2.0,,"['USD', '14.99']"
Rosewill,RNX-N180UB,Wi-Fi 4,USB 2.0,,"['USD', '0.00']"
Rosewill,RNX-N180UBE,Wi-Fi 4,USB 2.0,,"['USD', '17.99']"
Rosewill,RNX-N250PC2,Wi-Fi 4,PCI,,"['USD', '0.00']"
Rosewill,RNX-N250PCe,Wi-Fi 4,PCIe x1,,"['USD', '19.73']"
Rosewill,RNX-N250UBE,Wi-Fi 4,USB 2.0,,"['USD', '0.00']"
Rosewill,RNX-N300UB,Wi-Fi 4,USB 2.0,,"['USD', '14.99']"
Rosewill,RNX-N300X,Wi-Fi 4,PCI,,"['USD', '39.90']"
Rosewill,RNX-N600PCE_v2.0,Wi-Fi 4,PCIe x1,,"['USD', '23.99']"
Rosewill,RNX-N600UB,Wi-Fi 4,USB 2.0,,"['USD', '0.00']"
Rosewill,RNX-N600UBE,Wi-Fi 4,USB 2.0,,"['USD', '0.00']"
SIIG,CN-WR0811-S1,Wi-Fi 4,PCIe x1,,"['USD', '0.00']"
SIIG,JU-WR0012-S1,Wi-Fi 4,USB 2.0,,"['USD', '0.00']"
SIIG,JU-WR0112-S1,Wi-Fi 4,USB 2.0,,"['USD', '0.00']"
SIIG,JU-WR0212-S1,Wi-Fi 4,USB 2.0,,"['USD', '0.00']"
Sabrent,USB-802N,Wi-Fi 4,USB 2.0,Black,"['USD', '12.99']"
Sabrent,USBG802,Wi-Fi 3,USB 2.0,Black,"['USD', '12.12']"
Samsung,WIS12ABGNX/XAA,Wi-Fi 4,USB 2.0,,"['USD', '0.00']"
StarTech,PCI300WN2X2,Wi-Fi 4,PCI,,"['USD', '0.00']"
StarTech,PEX300WN2X2,Wi-Fi 4,PCIe x1,,"['USD', '24.99']"
StarTech,PEX867WAC22,Wi-Fi 5,PCIe x1,,"['USD', '66.98']"
StarTech,USB150WN1X1,Wi-Fi 4,USB 2.0,,"['USD', '16.54']"
StarTech,USB150WN1X1W,Wi-Fi 4,USB 1.0,,"['USD', '17.65']"
StarTech,USB300WN2X2C,Wi-Fi 4,USB 2.0,,"['USD', '16.79']"
StarTech,USB300WN2X2D,Wi-Fi 4,USB 1.0,,"['USD', '0.00']"
StarTech,USB433ACD1X1,Wi-Fi 5,USB 2.0,Black,"['USD', '22.99']"
StarTech,USB433WACDB,Wi-Fi 5,USB 2.0,,"['USD', '32.90']"
StarTech,USB867WAC22,Wi-Fi 5,USB 3.0,,"['USD', '45.84']"
Syba,CL-ADA23032,Wi-Fi 4,USB 2.0,,"['USD', '0.00']"
Syba,CL-ADA24004,Wi-Fi 4,USB 2.0,,"['USD', '0.00']"
Syba,SY-ADA23026,Wi-Fi 4,USB 2.0,,"['USD', '11.78']"
Syba,SY-PEX23059,Wi-Fi 4,PCIe x1,Green / Black,"['USD', '0.00']"
Syba,SY-PEX23063,Wi-Fi 4,PCIe x1,,"['USD', '0.00']"
TP-Link,ARCHER T2U PLUS,Wi-Fi 5,USB 2.0,Black,"['USD', '19.98']"
TP-Link,ARCHER T4UHP,Wi-Fi 5,USB 3.0,Black,"['USD', '0.00']"
TP-Link,Archer T1U,Wi-Fi 5,USB 2.0,,"['USD', '0.00']"
TP-Link,Archer T2U,Wi-Fi 5,USB 2.0,,"['USD', '22.49']"
TP-Link,Archer T2U Nano,Wi-Fi 4,USB 2.0,Black / Gold,"['USD', '12.99']"
TP-Link,Archer T2UH,Wi-Fi 5,USB 2.0,,"['USD', '144.73']"
TP-Link,Archer T3U,Wi-Fi 5,USB 3.0,Black,"['USD', '24.99']"
TP-Link,Archer T4E,Wi-Fi 5,PCIe x1,,"['USD', '29.99']"
TP-Link,Archer T4U,Wi-Fi 5,USB 3.0,,"['USD', '32.65']"
TP-Link,Archer T4U V2,Wi-Fi 5,USB 3.0,Black,"['USD', '33.99']"
TP-Link,Archer T4UH,Wi-Fi 5,USB 3.0,,"['USD', '99.95']"
TP-Link,Archer T5E,Wi-Fi 5,PCIe x1,Black,"['USD', '39.99']"
TP-Link,Archer T6E AC1300,Wi-Fi 5,PCIe x1,,"['USD', '34.99']"
TP-Link,Archer T8E,Wi-Fi 5,PCIe x1,,"['USD', '0.00']"
TP-Link,Archer T9E,Wi-Fi 5,PCIe x1,,"['USD', '139.99']"
TP-Link,Archer T9UH,Wi-Fi 5,USB 3.0,Black,"['USD', '59.99']"
TP-Link,Archer TX3000E,Wi-Fi 6,PCIe x1,Red / Black,"['USD', '44.99']"
TP-Link,Archer TX50E,Wi-Fi 6,PCIe x1,Black,"['USD', '37.99']"
TP-Link,TL-WDN3200,Wi-Fi 4,USB 2.0,,"['USD', '89.00']"
TP-Link,TL-WDN3800,Wi-Fi 4,PCIe x1,,"['USD', '0.00']"
TP-Link,TL-WDN4200,Wi-Fi 4,USB 2.0,,"['USD', '0.00']"
TP-Link,TL-WDN4800,Wi-Fi 4,PCIe x1,,"['USD', '140.00']"
TP-Link,TL-WN350GD,Wi-Fi 3,PCI,,"['USD', '66.00']"
TP-Link,TL-WN7200ND,Wi-Fi 4,USB 2.0,,"['USD', '0.00']"
TP-Link,TL-WN721N,Wi-Fi 4,USB 2.0,,"['USD', '0.00']"
TP-Link,TL-WN722N,Wi-Fi 4,USB 2.0,,"['USD', '15.99']"
TP-Link,TL-WN723N,Wi-Fi 4,USB 2.0,,"['USD', '0.00']"
TP-Link,TL-WN725N,Wi-Fi 4,USB 2.0,,"['USD', '9.99']"
TP-Link,TL-WN727N,Wi-Fi 4,USB 2.0,,"['USD', '0.00']"
TP-Link,TL-WN751ND,Wi-Fi 4,PCI,,"['USD', '0.00']"
TP-Link,TL-WN781ND,Wi-Fi 4,PCIe x1,,"['USD', '0.00']"
TP-Link,TL-WN8200ND,Wi-Fi 4,USB 2.0,,"['USD', '0.00']"
TP-Link,TL-WN821N,Wi-Fi 4,USB 2.0,,"['USD', '13.83']"
TP-Link,TL-WN822N,Wi-Fi 4,USB 2.0,,"['USD', '20.22']"
TP-Link,TL-WN823N,Wi-Fi 4,USB 2.0,,"['USD', '13.79']"
TP-Link,TL-WN851ND,Wi-Fi 4,PCI,,"['USD', '34.99']"
TP-Link,TL-WN881ND,Wi-Fi 4,PCIe x1,,"['USD', '17.98']"
TP-Link,TL-WN951N,Wi-Fi 4,PCI,,"['USD', '0.00']"
TRENDnet,TBW-108UB,Wi-Fi 4,USB 2.0,Black,"['USD', '13.99']"
TRENDnet,TEW-424UB,Wi-Fi 3,USB 2.0,,"['USD', '30.59']"
TRENDnet,TEW-623PI,Wi-Fi 4,PCI,,"['USD', '55.10']"
TRENDnet,TEW-624UB,Wi-Fi 4,USB 2.0,,"['USD', '60.91']"
TRENDnet,TEW-643PI,Wi-Fi 4,PCI,,"['USD', '29.10']"
TRENDnet,TEW-646UBH,Wi-Fi 4,USB 2.0,,"['USD', '0.00']"
TRENDnet,TEW-648UB,Wi-Fi 4,USB 2.0,,"['USD', '29.98']"
TRENDnet,TEW-648UBM,Wi-Fi 4,USB 2.0,,"['USD', '49.95']"
TRENDnet,TEW-649UB,Wi-Fi 4,USB 2.0,,"['USD', '79.95']"
TRENDnet,TEW-664UB,Wi-Fi 4,USB 2.0,,"['USD', '0.00']"
TRENDnet,TEW-684UB,Wi-Fi 4,USB 2.0,,"['USD', '15.98']"
TRENDnet,TEW-703PI,Wi-Fi 4,PCI,,"['USD', '52.28']"
TRENDnet,TEW-703PIL,Wi-Fi 4,PCI,,"['USD', '15.99']"
TRENDnet,TEW-726EC,Wi-Fi 4,PCIe x1,,"['USD', '88.95']"
TRENDnet,TEW-804UB,Wi-Fi 5,USB 2.0,,"['USD', '0.00']"
TRENDnet,TEW-805UB,Wi-Fi 5,USB 3.0,,"['USD', '0.00']"
TRENDnet,TEW-806UBH,Wi-Fi 5,USB 2.0,,"['USD', '0.00']"
TRENDnet,TEW-807ECH,Wi-Fi 5,PCIe x1,,"['USD', '39.99']"
TRENDnet,TEW-808UBM,Wi-Fi 5,USB 2.0,Black,"['USD', '21.99']"
Ziyituod,ZYT-7265,Wi-Fi 5,PCIe x1,Green,"['USD', '0.00']"
Ziyituod,ZYT-AX200,Wi-Fi 6,PCIe x1,Green,"['USD', '29.99']"
fenvi,FV-8802,Wi-Fi 5,PCIe x1,Black / Orange,"['USD', '27.99']"
fenvi,FV-T919,Wi-Fi 5,PCIe x1,Black / Gold,"['USD', '59.99']"
fenvi,FV8303,Wi-Fi 4,PCIe x1,,"['USD', '0.00']"
