brand,model,size,color,rpm,airflow,decibels,pwm,price
Noctua,F12 industrialPPC-2000,120.0,Brown / Black,"{'min': None, 'max': None, 'default': 2000}","{'min': None, 'max': None, 'default': 71.69}","{'min': None, 'max': None, 'default': 29.7}",False,"['USD', '22.49']"
Noctua,F12 industrialPPC-2000 IP67 PWM,120.0,Brown / Black,"{'min': 450, 'max': 2000, 'default': None}","{'min': None, 'max': None, 'default': 71.69}","{'min': None, 'max': None, 'default': 29.7}",True,"['USD', '25.95']"
Noctua,F12 industrialPPC-2000 PWM,120.0,Brown / Black,"{'min': 450, 'max': 2000, 'default': None}","{'min': None, 'max': None, 'default': 71.69}","{'min': None, 'max': None, 'default': 29.7}",True,"['USD', '25.35']"
Noctua,F12 industrialPPC-3000 PWM,120.0,Brown / Black,"{'min': 750, 'max': 3000, 'default': None}","{'min': None, 'max': None, 'default': 109.89}","{'min': None, 'max': None, 'default': 43.5}",True,"['USD', '25.95']"
Noctua,P12 PWM,120.0,Brown,"{'min': 900, 'max': 1300, 'default': None}",,"{'min': 12.6, 'max': 19.8, 'default': None}",True,"['USD', '0.00']"
Noctua,P12 redux-1300,120.0,Gray,"{'min': None, 'max': None, 'default': 1300}","{'min': None, 'max': None, 'default': 54.32}","{'min': None, 'max': None, 'default': 19.8}",False,"['USD', '0.00']"
Noctua,P12 redux-1300 PWM,120.0,Gray,"{'min': 300, 'max': 1300, 'default': None}","{'min': None, 'max': None, 'default': 54.32}","{'min': None, 'max': None, 'default': 19.8}",True,"['USD', '0.00']"
Noctua,P12 redux-1700 PWM,120.0,Gray,"{'min': 450, 'max': 1700, 'default': None}","{'min': None, 'max': None, 'default': 70.75}","{'min': None, 'max': None, 'default': 25.1}",True,"['USD', '41.87']"
Noctua,P12 redux-900,120.0,Gray,"{'min': None, 'max': None, 'default': 900}","{'min': None, 'max': None, 'default': 37.31}","{'min': None, 'max': None, 'default': 12.6}",False,"['USD', '13.90']"
Noctua,P12-1300,120.0,Brown,"{'min': 900, 'max': 1300, 'default': None}","{'min': 37.33, 'max': 54.36, 'default': None}","{'min': 12.6, 'max': 19.8, 'default': None}",False,"['USD', '31.98']"
