brand,model,cores,base_clock,boost_clock,tdp,integrated_graphics,multithreading,price
Intel,Xeon E5-2620 V2,6.0,{'cycles': 2100000000},{'cycles': 2600000000},80.0,,True,"['USD', '0.00']"
Intel,Xeon E5-2620 V3,6.0,{'cycles': 2400000000},{'cycles': 3200000000},85.0,,True,"['USD', '68.94']"
Intel,Xeon E5-2620 V4,8.0,{'cycles': 2100000000},{'cycles': 3000000000},85.0,,True,"['USD', '409.99']"
Intel,Xeon E5-2622 V3,8.0,{'cycles': 2400000000},,85.0,,True,"['USD', '0.00']"
Intel,Xeon E5-2623 V3,4.0,{'cycles': 3000000000},{'cycles': 3500000000},105.0,,True,"['USD', '0.00']"
Intel,Xeon E5-2630,6.0,{'cycles': 2300000000},,95.0,,True,"['USD', '202.12']"
Intel,Xeon E5-2630 V2,6.0,{'cycles': 2600000000},{'cycles': 3100000000},80.0,,True,"['USD', '0.00']"
Intel,Xeon E5-2630 V3,8.0,{'cycles': 2400000000},{'cycles': 3200000000},85.0,,True,"['USD', '0.00']"
Intel,Xeon E5-2630 V4,10.0,{'cycles': 2200000000},{'cycles': 3100000000},85.0,,True,"['USD', '479.00']"
Intel,Xeon E5-2630L V2,6.0,{'cycles': 2400000000},,60.0,,True,"['USD', '0.00']"
Intel,Xeon E5-2630L V3,8.0,{'cycles': 1800000000},{'cycles': 2900000000},55.0,,True,"['USD', '0.00']"
Intel,Xeon E5-2637 V2,4.0,{'cycles': 3500000000},{'cycles': 3800000000},130.0,,True,"['USD', '0.00']"
Intel,Xeon E5-2637 V3,4.0,{'cycles': 3500000000},{'cycles': 3700000000},135.0,,True,"['USD', '0.00']"
Intel,Xeon E5-2640,6.0,{'cycles': 2500000000},{'cycles': 3000000000},95.0,,True,"['USD', '149.94']"
Intel,Xeon E5-2640 V2,8.0,{'cycles': 2000000000},{'cycles': 2500000000},95.0,,True,"['USD', '179.95']"
Intel,Xeon E5-2640 V3,8.0,{'cycles': 2600000000},{'cycles': 3400000000},90.0,,True,"['USD', '280.88']"
Intel,Xeon E5-2640 V4,10.0,{'cycles': 2400000000},{'cycles': 3400000000},90.0,,True,"['USD', '1004.06']"
Intel,Xeon E5-2643 V2,6.0,{'cycles': 3500000000},{'cycles': 3800000000},130.0,,True,"['USD', '230.57']"
Intel,Xeon E5-2643 V3,6.0,{'cycles': 3400000000},{'cycles': 3700000000},135.0,,True,"['USD', '1295.00']"
Intel,Xeon E5-2643 V4,6.0,{'cycles': 3400000000},{'cycles': 3700000000},135.0,,True,"['USD', '1125.00']"
Intel,Xeon E5-2650,8.0,{'cycles': 2000000000},{'cycles': 2800000000},95.0,,True,"['USD', '57.00']"
Intel,Xeon E5-2650 V2,8.0,{'cycles': 2600000000},{'cycles': 3400000000},95.0,,True,"['USD', '150.00']"
Intel,Xeon E5-2650 V3,10.0,{'cycles': 2300000000},{'cycles': 3000000000},105.0,,True,"['USD', '0.00']"
Intel,Xeon E5-2650 V4,12.0,{'cycles': 2200000000},{'cycles': 2900000000},105.0,,True,"['USD', '993.33']"
Intel,Xeon E5-2650L,8.0,{'cycles': 1800000000},{'cycles': 2300000000},70.0,,True,"['USD', '297.95']"
Intel,Xeon E5-2650L V2,10.0,{'cycles': 1700000000},{'cycles': 2100000000},70.0,,True,"['USD', '289.05']"
Intel,Xeon E5-2650L V3,12.0,{'cycles': 1800000000},{'cycles': 2500000000},65.0,,True,"['USD', '0.00']"
Intel,Xeon E5-2650L V4,14.0,{'cycles': 1700000000},{'cycles': 2500000000},65.0,,True,"['USD', '651.14']"
Intel,Xeon E5-2658 V3,12.0,{'cycles': 2200000000},{'cycles': 2900000000},105.0,,True,"['USD', '0.00']"
Intel,Xeon E5-2660,8.0,{'cycles': 2200000000},{'cycles': 3000000000},95.0,,True,"['USD', '0.00']"
Intel,Xeon E5-2660 V2,10.0,{'cycles': 2200000000},{'cycles': 3000000000},95.0,,True,"['USD', '0.00']"
Intel,Xeon E5-2660 V3,10.0,{'cycles': 2600000000},{'cycles': 3300000000},105.0,,True,"['USD', '350.00']"
Intel,Xeon E5-2660 V4,14.0,{'cycles': 2000000000},{'cycles': 3200000000},105.0,,True,"['USD', '1470.06']"
Intel,Xeon E5-2665,8.0,{'cycles': 2400000000},{'cycles': 3100000000},115.0,,True,"['USD', '0.00']"
Intel,Xeon E5-2667 V2,8.0,{'cycles': 3300000000},{'cycles': 4000000000},130.0,,True,"['USD', '0.00']"
Intel,Xeon E5-2667 V3,8.0,{'cycles': 3200000000},{'cycles': 3600000000},135.0,,True,"['USD', '772.96']"
Intel,Xeon E5-2670,8.0,{'cycles': 2600000000},{'cycles': 3300000000},115.0,,True,"['USD', '0.00']"
Intel,Xeon E5-2670 V2,10.0,{'cycles': 2500000000},{'cycles': 3300000000},115.0,,True,"['USD', '1527.50']"
Intel,Xeon E5-2670 V3,12.0,{'cycles': 2300000000},{'cycles': 3100000000},120.0,,True,"['USD', '0.00']"
Intel,Xeon E5-2680,8.0,{'cycles': 2700000000},{'cycles': 3500000000},130.0,,True,"['USD', '125.64']"
Intel,Xeon E5-2680 V2,10.0,{'cycles': 2800000000},{'cycles': 3600000000},115.0,,True,"['USD', '0.00']"
Intel,Xeon E5-2680 V3,12.0,{'cycles': 2500000000},{'cycles': 3300000000},120.0,,True,"['USD', '0.00']"
Intel,Xeon E5-2680 V4,14.0,{'cycles': 2400000000},{'cycles': 3300000000},120.0,,True,"['USD', '1999.95']"
Intel,Xeon E5-2683 V3,14.0,{'cycles': 2000000000},{'cycles': 3000000000},120.0,,True,"['USD', '0.00']"
Intel,Xeon E5-2683 V4,16.0,{'cycles': 2100000000},{'cycles': 3000000000},120.0,,True,"['USD', '1969.95']"
Intel,Xeon E5-2685 V3,12.0,{'cycles': 2600000000},{'cycles': 3300000000},120.0,,True,"['USD', '2399.00']"
Intel,Xeon E5-2687W,8.0,{'cycles': 3100000000},{'cycles': 3800000000},150.0,,True,"['USD', '559.95']"
Intel,Xeon E5-2687W V2,8.0,{'cycles': 3400000000},{'cycles': 4000000000},150.0,,True,"['USD', '0.00']"
Intel,Xeon E5-2687W V3,10.0,{'cycles': 3100000000},{'cycles': 3500000000},160.0,,True,"['USD', '2998.95']"
