brand,model,fan_rpm,decibels,color,radiator_size,price
deepcool,gammaxx gt v2,"{'min': 500, 'max': 1650, 'default': none}","{'min': none, 'max': none, 'default': 27.8}",black / silver,0.8000000000000002,0.0
deepcool,gammaxx gte,"{'min': 500, 'max': 1500, 'default': none}","{'min': none, 'max': none, 'default': 27.0}",black / silver,0.8000000000000002,0.0
deepcool,gammaxx gte v2,"{'min': 500, 'max': 1650, 'default': none}","{'min': none, 'max': none, 'default': 27.8}",white,0.8000000000000002,0.0
deepcool,gammaxx l120,"{'min': 500, 'max': 1800, 'default': none}","{'min': none, 'max': none, 'default': 17.8}",black,0.0,0.0
deepcool,gammaxx l240,"{'min': 500, 'max': 1800, 'default': none}","{'min': none, 'max': none, 'default': 17.8}",black,0.4,0.0
deepcool,gammaxx l240 v2,"{'min': 500, 'max': 1800, 'default': none}","{'min': none, 'max': none, 'default': 30.0}",black / white,0.4,0.0
deepcool,gammaxx s40,"{'min': 900, 'max': 1600, 'default': none}","{'min': 17.8, 'max': 26.1, 'default': none}",black / white,0.4,0.0
deepcool,gamerstorm captain 240 pro,"{'min': 500, 'max': 1800, 'default': none}","{'min': none, 'max': none, 'default': 30.0}",black,0.4,0.0
deepcool,gammaxx l360 v2,"{'min': 500, 'max': 1800, 'default': none}","{'min': none, 'max': none, 'default': 30.0}",black / white,0.8000000000000002,0.0
deepcool,ice blade 100,"{'min': none, 'max': none, 'default': 2200}","{'min': none, 'max': none, 'default': 31.6}",black / white,0.8000000000000002,0.0
deepcool,ice blade 200m,"{'min': none, 'max': none, 'default': 2200}","{'min': 17.8, 'max': 30.1, 'default': none}",black / white,0.8000000000000002,0.0
deepcool,ice blade pro v2.0,"{'min': 900, 'max': 1500, 'default': none}","{'min': 17.8, 'max': 30.0, 'default': none}",black / white,0.8000000000000002,0.0
deepcool,ice edge mini fs v2.0,"{'min': none, 'max': none, 'default': 2200}","{'min': none, 'max': none, 'default': 24.7}",black / white,0.8000000000000002,0.0
deepcool,lucifer,"{'min': 700, 'max': 1400, 'default': none}","{'min': 17.8, 'max': 31.1, 'default': none}",black / white,0.8000000000000002,0.0
deepcool,lucifer k2,"{'min': 600, 'max': 1800, 'default': none}","{'min': 18.2, 'max': 32.4, 'default': none}",black / white,0.8000000000000002,0.0
deepcool,lucifer v2,"{'min': 300, 'max': 1400, 'default': none}","{'min': 12.6, 'max': 31.1, 'default': none}",black / white,0.8000000000000002,0.0
deepcool,maelstrom 240 rgb,"{'min': 500, 'max': 1800, 'default': none}","{'min': 17.8, 'max': 30.0, 'default': none}",black,0.4,0.0
deepcool,maelstrom 120k,"{'min': 600, 'max': 1800, 'default': none}","{'min': 18.2, 'max': 32.4, 'default': none}",black,0.0,0.0
