brand,model,capacity,price_per_gb,storage_type,platter_rpm,cache_amount,form_factor,interface,price
Seagate,Momentus 5400.3,{'total': 80000000000},"['USD', '0.537']",HDD,5400.0,{'total': 8000000},"2.5""",PATA 100,"['USD', '42.99']"
Seagate,Momentus 5400.6,{'total': 320000000000},"['USD', '0.00']",HDD,5400.0,{'total': 8000000},"2.5""",SATA 3 Gb/s,"['USD', '0.00']"
Seagate,Momentus 7200 FDE.2,{'total': 160000000000},"['USD', '0.00']",HDD,7200.0,{'total': 16000000},"2.5""",SATA 3 Gb/s,"['USD', '0.00']"
Seagate,Momentus 7200.4,{'total': 320000000000},"['USD', '0.553']",HDD,7200.0,{'total': 16000000},"2.5""",SATA 3 Gb/s,"['USD', '177.00']"
Seagate,Momentus LP,{'total': 1000000000000},"['USD', '0.070']",HDD,5400.0,{'total': 8000000},"2.5""",SATA 3 Gb/s,"['USD', '69.98']"
Seagate,Momentus SpinPoint,{'total': 2000000000000},"['USD', '0.00']",HDD,5400.0,{'total': 32000000},"2.5""",SATA 6 Gb/s,"['USD', '0.00']"
Seagate,Momentus Thin,{'total': 500000000000},"['USD', '0.078']",HDD,5400.0,{'total': 16000000},"2.5""",SATA 3 Gb/s,"['USD', '38.99']"
Seagate,Momentus XT,{'total': 500000000000},"['USD', '0.100']",HDD,7200.0,{'total': 32000000},"2.5""",SATA 3 Gb/s,"['USD', '49.99']"
Seagate,NAS HDD,{'total': 4000000000000},"['USD', '0.071']",HDD,5900.0,{'total': 64000000},"3.5""",SATA 6 Gb/s,"['USD', '285.27']"
Seagate,Nytro 5000,{'total': 400000000000},"['USD', '1.173']",SSD,,,M.2-22110,M.2 (M),"['USD', '469.00']"
Seagate,Nytro Enterprise,{'total': 480000000000},"['USD', '0.292']",SSD,,,"2.5""",SATA 6 Gb/s,"['USD', '140.00']"
Seagate,Nytro XM1440,{'total': 800000000000},"['USD', '0.00']",SSD,,,M.2-2280,M.2 (M),"['USD', '0.00']"
Seagate,Pipeline HD,{'total': 1000000000000},"['USD', '0.00']",HDD,5900.0,{'total': 8000000},"3.5""",SATA 3 Gb/s,"['USD', '0.00']"
Seagate,Pulsar.2,{'total': 800000000000},"['USD', '0.00']",SSD,,,"2.5""",SAS 6 Gb/s,"['USD', '0.00']"
Seagate,ST1000DM004,{'total': 1000000000000},"['USD', '0.00']",HDD,7200.0,{'total': 64000000},"3.5""",SATA 6 Gb/s,"['USD', '0.00']"
